Layer,Fieldname,PFL,GIS,TR and Scraps,Duplicates
P_ControllableFitting,ESRIGNSS_NUMSATS,,ESRIGNSS_NUMSATS,,
P_ControllableFitting,ESRIGNSS_POSITIONSOURCETYPE,,ESRIGNSS_POSITIONSOURCETYPE,,
P_ControllableFitting,COLLECTIONUSER,,COLLECTIONUSER,,
P_ControllableFitting,COLLECTIONDATE,,COLLECTIONDATE,,
P_ControllableFitting,COLLECTIONUPDATEDATE,,COLLECTIONUPDATEDATE,,
P_ControllableFitting,WALLTHICKNESS,,WALLTHICKNESS,,
P_ControllableFitting,WALLTHICKNESS2,,WALLTHICKNESS2,,
P_ControllableFitting,ASTMCATEGORY,,ASTMCATEGORY,,
P_ControllableFitting,ASTMSIZESTANDARD1,,ASTMSIZESTANDARD1,,
P_ControllableFitting,ASTMSIZESTANDARD2,,ASTMSIZESTANDARD2,,
P_ControllableFitting,ASTMSUBCATEGORY,,ASTMSUBCATEGORY,,
P_ControllableFitting,EWNCODE,,EWNCODE,,
P_ControllableFitting,WELDER2,,WELDER2,,
P_ControllableFitting,WELDER,,WELDER,,
P_Valve,OBJECTID,,OBJECTID,,
P_Valve,ABANDONEDINDICATOR,,ABANDONEDINDICATOR,ABANDONEDINDICATOR,
P_Valve,ASSETGROUP,,ASSETGROUP,ASSETGROUP,
P_Valve,ASSETTYPE,,ASSETTYPE,ASSETTYPE,
P_Valve,ASSETUNITCODE,,ASSETUNITCODE,ASSETUNITCODE,
P_Valve,BARCODE,,BARCODE,BARCODE,
P_Valve,BONDEDINDICATOR,,BONDEDINDICATOR,BONDEDINDICATOR,
P_Valve,CITYNAME,,CITYNAME,CITYNAME,
P_Valve,CLOCKWISETOCLOSE,,CLOCKWISETOCLOSE,CLOCKWISETOCLOSE,
P_Valve,CLOSESTOPINDICATOR,,CLOSESTOPINDICATOR,CLOSESTOPINDICATOR,
P_Valve,COMMENTS,,COMMENTS,COMMENTS,
P_Valve,CONNECTIONTYPE,End Connections,,,
P_Valve,CONTINM,From Measure,,,
P_Valve,CONTINROUTEID,Route ID,,,
P_Valve,CONTINROUTENAME,TR,,,
P_Valve,COUNTYNAME,,COUNTYNAME,COUNTYNAME,
P_Valve,CPSYSTEMNAME,,CPSYSTEMNAME,CPSYSTEMNAME,
P_Valve,CPTYPE,,CPTYPE,CPTYPE,
P_Valve,CREATIONUSER,,CREATIONUSER,CREATIONUSER,
P_Valve,CUNUMLASTSAVED,,CUNUMLASTSAVED,CUNUMLASTSAVED,
P_Valve,CUTNUMBER,,CUTNUMBER,CUTNUMBER,
P_Valve,DATECREATED,,DATECREATED,DATECREATED,
P_Valve,DATEMODIFIED,,DATEMODIFIED,DATEMODIFIED,
P_Valve,DATERETIRED,,DATERETIRED,DATERETIRED,
P_Valve,DEPTHTONUT,,DEPTHTONUT,DEPTHTONUT,
P_Valve,DETAILINDICATOR,,DETAILINDICATOR,DETAILINDICATOR,
P_Valve,DEVICENUMBER,,DEVICENUMBER,DEVICENUMBER,
P_Valve,DIAMETER,Outside Diameter [D],,,
P_Valve,DIRECTIONTOCLOSE,,DIRECTIONTOCLOSE,DIRECTIONTOCLOSE,
P_Valve,DIVISION,,DIVISION,DIVISION,
P_Valve,EMERGENCYINDICATOR,,EMERGENCYINDICATOR,EMERGENCYINDICATOR,
P_Valve,ENABLED,,ENABLED,ENABLED,
P_Valve,EVENTID,EventID,,,
P_Valve,FACILITYID,Facility ID-DO NOT EDIT,FACILITYID,FACILITYID,
P_Valve,FIELDTAG,,FIELDTAG,FIELDTAG,
P_Valve,FROMDATE,,FROMDATE,FROMDATE,
P_Valve,FUNCTIONAL,,FUNCTIONAL,FUNCTIONAL,
P_Valve,GASTRACEWEIGHT,,GASTRACEWEIGHT,GASTRACEWEIGHT,
P_Valve,GISSYSTEMTYPE,,GISSYSTEMTYPE,GISSYSTEMTYPE,
P_Valve,GPSX,,GPSX,GPSX,
P_Valve,GPSY,,GPSY,GPSY,
P_Valve,GREASEFITTINGINDICATOR,,GREASEFITTINGINDICATOR,GREASEFITTINGINDICATOR,
P_Valve,INACCESSIBLEINDICATOR,,INACCESSIBLEINDICATOR,INACCESSIBLEINDICATOR,
P_Valve,INOPERABLEINDICATOR,,INOPERABLEINDICATOR,INOPERABLEINDICATOR,
P_Valve,INSERVICEDATE,,INSERVICEDATE,INSERVICEDATE,
P_Valve,INSIDEFENCEINDICATOR,,INSIDEFENCEINDICATOR,INSIDEFENCEINDICATOR,
P_Valve,INSTALLATIONDATE,Feature Install Date,,,
P_Valve,INSTALLATIONMETHOD,Above Ground/Below Ground,,,
P_Valve,INSULATEDINDICATOR,,INSULATEDINDICATOR,INSULATEDINDICATOR,
P_Valve,JOBMODIFYNAME,,JOBMODIFYNAME,JOBMODIFYNAME,
P_Valve,JOBPLACENAME,,JOBPLACENAME,JOBPLACENAME,
P_Valve,LASTUSER,,LASTUSER,LASTUSER,
P_Valve,LASTUSERNAME,,LASTUSERNAME,LASTUSERNAME,
P_Valve,LINENUMBER,,LINENUMBER,LINENUMBER,
P_Valve,LOCATIONERROR,,LOCATIONERROR,LOCATIONERROR,
P_Valve,LOCATIONMEASURE1,,LOCATIONMEASURE1,LOCATIONMEASURE1,
P_Valve,LOCATIONMEASURE2,,LOCATIONMEASURE2,LOCATIONMEASURE2,
P_Valve,LOCKEDINDICATOR,,LOCKEDINDICATOR,LOCKEDINDICATOR,
P_Valve,MANUFACTURELOTNUMBER,,MANUFACTURELOTNUMBER,MANUFACTURELOTNUMBER,
P_Valve,MANUFACTURER,Manufacturer,,,
P_Valve,MANUFACTURERDATE,,MANUFACTURERDATE,MANUFACTURERDATE,
P_Valve,MANUFACTURERMODEL,Model Number,,,
P_Valve,MAOPDESIGN,DP of Pipe 192.619(a)(1),,,
P_Valve,MAOPFEATURE,,MAOPFEATURE,MAOPFEATURE,
P_Valve,MAOPRECORD,Governing MAOP,,,
P_Valve,MAOPTEST,Test Pressure 192.619(a)(2),,,
P_Valve,MAOPUNITOFMEASURE,,MAOPUNITOFMEASURE,MAOPUNITOFMEASURE,
P_Valve,MATERIAL,Material Type,,,
P_Valve,MXCREATIONSTATE,,MXCREATIONSTATE,MXCREATIONSTATE,
P_Valve,MXSITEID,,MXSITEID,MXSITEID,
P_Valve,NORMALPOSITION,,NORMALPOSITION,NORMALPOSITION,
P_Valve,OPCENTER,,OPCENTER,OPCENTER,
P_Valve,OPCENTERCSS,,OPCENTERCSS,OPCENTERCSS,
P_Valve,OPENSTOPINDICATOR,,OPENSTOPINDICATOR,OPENSTOPINDICATOR,
P_Valve,OPERATINGCLASSIFICATION,,OPERATINGCLASSIFICATION,OPERATINGCLASSIFICATION,
P_Valve,OPERATINGTOOL,,OPERATINGTOOL,OPERATINGTOOL,
P_Valve,OUTAGEZONE1,,OUTAGEZONE1,OUTAGEZONE1,
P_Valve,OUTAGEZONE2,,OUTAGEZONE2,OUTAGEZONE2,
P_Valve,OUTAGEZONEINDICATOR,,OUTAGEZONEINDICATOR,OUTAGEZONEINDICATOR,
P_Valve,OWNER,,OWNER,OWNER,
P_Valve,PRESSURECLASS,,PRESSURECLASS,PRESSURECLASS,
P_Valve,PRESSURESYSTEMNAME,GSID,,,
P_Valve,PROJECTNUMBER,,PROJECTNUMBER,PROJECTNUMBER,
P_Valve,PROJECTNUMBERRETIRED,,PROJECTNUMBERRETIRED,PROJECTNUMBERRETIRED,
P_Valve,RATING,,RATING,RATING,
P_Valve,REFLOCATION,,REFLOCATION,REFLOCATION,
P_Valve,REFMETHOD,,REFMETHOD,REFMETHOD,
P_Valve,REFOFFSET,,REFOFFSET,REFOFFSET,
P_Valve,SIZEADAPTER,,SIZEADAPTER,SIZEADAPTER,
P_Valve,SPATIALACCURACY,,SPATIALACCURACY,SPATIALACCURACY,
P_Valve,STATENAME,,STATENAME,STATENAME,
P_Valve,STATIONNAME,,STATIONNAME,STATIONNAME,
P_Valve,STATIONNUMBER,,STATIONNUMBER,STATIONNUMBER,
P_Valve,STATIONSTRUCTURE_GLOBALID,,STATIONSTRUCTURE_GLOBALID,STATIONSTRUCTURE_GLOBALID,
P_Valve,STATUS,,STATUS,STATUS,
P_Valve,STOCKNUMBER,,STOCKNUMBER,STOCKNUMBER,
P_Valve,STYLEDEFAULT1,,STYLEDEFAULT1,STYLEDEFAULT1,
P_Valve,STYLEDEFAULT2,,STYLEDEFAULT2,STYLEDEFAULT2,
P_Valve,STYLEDEFAULT3,,STYLEDEFAULT3,STYLEDEFAULT3,
P_Valve,SUBSIDIARY,,SUBSIDIARY,SUBSIDIARY,
P_Valve,SYMBOLROTATION,,SYMBOLROTATION,SYMBOLROTATION,
P_Valve,SYMBOLSCALE,,SYMBOLSCALE,SYMBOLSCALE,
P_Valve,SYSTEMTYPE,,SYSTEMTYPE,SYSTEMTYPE,
P_Valve,TEEOPERATION,,TEEOPERATION,TEEOPERATION,
P_Valve,TODATE,,TODATE,TODATE,
P_Valve,TOWNGASNAME,,TOWNGASNAME,TOWNGASNAME,
P_Valve,TOWNSHIP,,TOWNSHIP,TOWNSHIP,
P_Valve,TOWNSHIPQQS,,TOWNSHIPQQS,TOWNSHIPQQS,
P_Valve,TURNSTOCLOSE,,TURNSTOCLOSE,TURNSTOCLOSE,
P_Valve,VALVENUMBER,,VALVENUMBER,VALVENUMBER,
P_Valve,VALVETYPE,Feature Type,,,
P_Valve,WORKORDERID,Work Order Number,,,
P_Valve,WORKORDERIDRETIRED,,WORKORDERIDRETIRED,WORKORDERIDRETIRED,
P_Valve,YEARINSTALLED,,YEARINSTALLED,YEARINSTALLED,
P_Valve,GLOBALID,,GLOBALID,GLOBALID,
P_Valve,MXASSETNUM,Maximo Asset Number-DO NOT EDIT,,,
P_Valve,SHAPE,,SHAPE,SHAPE,
P_Valve,WORKREQUESTID,,WORKREQUESTID,WORKREQUESTID,
P_Valve,DESIGNID,,DESIGNID,DESIGNID,
P_Valve,WORKLOCATIONID,,WORKLOCATIONID,WORKLOCATIONID,
P_Valve,WORKFLOWSTATUS,,WORKFLOWSTATUS,WORKFLOWSTATUS,
P_Valve,WORKFUNCTION,,WORKFUNCTION,WORKFUNCTION,
P_Valve,SUBTYPECD,,SUBTYPECD,SUBTYPECD,
P_Valve,ANSIPRESSURECLASS,Rating Class,,,
P_Valve,SERIALNUMBER,,SERIALNUMBER,SERIALNUMBER,
P_Valve,CHANGEDATABASE,,CHANGEDATABASE,CHANGEDATABASE,
P_Valve,MXASSETLOC,,MXASSETLOC,MXASSETLOC,
P_Valve,MXCHANGEDATE,,MXCHANGEDATE,MXCHANGEDATE,
P_Valve,MXGASHIERARCHYID,,MXGASHIERARCHYID,MXGASHIERARCHYID,
P_Valve,MXINDICATOR,,MXINDICATOR,MXINDICATOR,
P_Valve,SERVICECENTER,,SERVICECENTER,SERVICECENTER,
P_Valve,WELLSITE_GLOBALID,,WELLSITE_GLOBALID,WELLSITE_GLOBALID,
P_Valve,VALVESPECIFICATION,,VALVESPECIFICATION,VALVESPECIFICATION,
P_Valve,LOCATIONDESCRIPTION,,LOCATIONDESCRIPTION,LOCATIONDESCRIPTION,
P_Valve,VALVEUSE,,VALVEUSE,VALVEUSE,
P_Valve,ESRIGNSS_FIXTYPE,,ESRIGNSS_FIXTYPE,,
P_Valve,ESRIGNSS_NUMSATS,,ESRIGNSS_NUMSATS,,
P_Valve,LV_PROJECTID,,LV_PROJECTID,,
P_Valve,LV_ID,,LV_ID,,
P_Valve,LV_UID,,LV_UID,,
P_Valve,LV_WORKUNITID,,LV_WORKUNITID,,
P_Valve,ESRIGNSS_POSITIONSOURCETYPE,,ESRIGNSS_POSITIONSOURCETYPE,,
P_Valve,ESRIGNSS_RECEIVER,,ESRIGNSS_RECEIVER,,
P_Valve,ESRIGNSS_LATITUDE,,ESRIGNSS_LATITUDE,,
P_Valve,ESRIGNSS_LONGITUDE,,ESRIGNSS_LONGITUDE,,
P_Valve,ESRIGNSS_ALTITUDE,,ESRIGNSS_ALTITUDE,,
P_Valve,ESRIGNSS_H_RMS,,ESRIGNSS_H_RMS,,
P_Valve,ESRIGNSS_V_RMS,,ESRIGNSS_V_RMS,,
P_Valve,ESRIGNSS_FIXDATETIME,,ESRIGNSS_FIXDATETIME,,
P_Valve,ESRIGNSS_CORRECTIONAGE,,ESRIGNSS_CORRECTIONAGE,,
P_Valve,ESRIGNSS_STATIONID,,ESRIGNSS_STATIONID,,
P_Valve,ESRIGNSS_PDOP,,ESRIGNSS_PDOP,,
P_Valve,ESRIGNSS_HDOP,,ESRIGNSS_HDOP,,
P_Valve,ESRIGNSS_VDOP,,ESRIGNSS_VDOP,,
P_Valve,ESRIGNSS_DIRECTION,,ESRIGNSS_DIRECTION,,
P_Valve,ESRIGNSS_SPEED,,ESRIGNSS_SPEED,,
P_Valve,ESRISNSR_AZIMUTH,,ESRISNSR_AZIMUTH,,
P_Valve,ESRIGNSS_AVG_H_RMS,,ESRIGNSS_AVG_H_RMS,,
P_Valve,ESRIGNSS_AVG_V_RMS,,ESRIGNSS_AVG_V_RMS,,
P_Valve,ESRIGNSS_AVG_POSITIONS,,ESRIGNSS_AVG_POSITIONS,,
P_Valve,ESRIGNSS_H_STDDEV,,ESRIGNSS_H_STDDEV,,
P_Valve,INSTALLPERSONNAME,,INSTALLPERSONNAME,,
P_Valve,INSTALLPERSONID,,INSTALLPERSONID,,
P_Valve,INSPECTORNAME,,INSPECTORNAME,,
P_Valve,INSTALLERCOMPANY,,INSTALLERCOMPANY,,
P_Valve,INSPECTORCOMPANY,,INSPECTORCOMPANY,,
P_Valve,COLLECTIONUSER,,COLLECTIONUSER,,
P_Valve,COLLECTIONDATE,,COLLECTIONDATE,,
P_Valve,COLLECTIONUPDATEDATE,,COLLECTIONUPDATEDATE,,
P_Valve,VALVEFORMNUMBER,,VALVEFORMNUMBER,,
P_Valve,VALVEPORTSTYLE,,VALVEPORTSTYLE,,
P_Valve,ASTMCATEGORY,,ASTMCATEGORY,,
P_Valve,ASTMSIZESTANDARD1,,ASTMSIZESTANDARD1,,
P_Valve,ASTMSIZESTANDARD2,,ASTMSIZESTANDARD2,,
P_Valve,ASTMSUBCATEGORY,,ASTMSUBCATEGORY,,
P_Valve,WELDER1,,WELDER1,,
P_Valve,WELDER2,,WELDER2,,
P_Valve,WELDER3,,WELDER3,,
P_Valve,WELDER4,,WELDER4,,
P_Valve,XRAYNUMBER1,,XRAYNUMBER1,,
P_Valve,XRAYNUMBER2,,XRAYNUMBER2,,
P_Valve,VALVESTYLE,,VALVESTYLE,VALVETYPE,
P_TestPressureRange,OBJECTID,,,,
P_TestPressureRange,CONTINFROMM,From Measure,,,
P_TestPressureRange,CONTINROUTEID,Route ID,,,Check
P_TestPressureRange,CONTINROUTENAME,TR,,,Check
P_TestPressureRange,CONTINTOM,To Measure,,,
P_TestPressureRange,CREATIONUSER,,,,
P_TestPressureRange,DATECREATED,,,,
P_TestPressureRange,DATEMODIFIED,,,,
P_TestPressureRange,EVENTID,,,,
P_TestPressureRange,FROMDATE,,,,
P_TestPressureRange,FROMREFLOCATION,,,,
P_TestPressureRange,FROMREFMETHOD,,,,
P_TestPressureRange,FROMREFOFFSET,,,,
P_TestPressureRange,GISSYSTEMTYPE,,,,
P_TestPressureRange,LASTUSER,,,,
P_TestPressureRange,LOCATIONERROR,,,,
P_TestPressureRange,MINADJUSTEDPRESSURE,PT Min Test Pressure,,,Check
P_TestPressureRange,MINDESIGNPRESSURE,,,,
P_TestPressureRange,PRESSURETEST,,,,
P_TestPressureRange,PRETEST,,,,
P_TestPressureRange,STYLEDEFAULT,,,,
P_TestPressureRange,TESTDATE,PT Date,,,Check
P_TestPressureRange,TESTMEDIUM,PT Test Medium,,,Check
P_TestPressureRange,TESTNAME,PT Hydrotest Name and Location,,,Check
P_TestPressureRange,TESTTYPE,,,,
P_TestPressureRange,TODATE,,,,
P_TestPressureRange,TOREFLOCATION,,,,
P_TestPressureRange,TOREFMETHOD,,,,
P_TestPressureRange,TOREFOFFSET,,,,
P_TestPressureRange,UNITOFMEASURE,,,,
P_TestPressureRange,GLOBALID,,,,
P_TestPressureRange,SHAPE,,,,
P_TestPressureRange,COMMENTS,,,,
P_TestPressureRange,MAXELEVATION,Max Elevation,,,Check
P_TestPressureRange,MINELEVATION,Min Elevation,,,Check
P_TestPressureRange,PROJECTNUMBER,,,,
P_TestPressureRange,TESTSITEELEVATION,Instrument Dead Weight Elevation,,,Check
P_TestPressureRange,TESTSTAMPNUMBER,,,,
P_TestPressureRange,RESPONSIBLEPERSONNAME,PT Person Responsible,,,Check
P_TestPressureRange,TESTCOMPANYNAME,PT Test Company Name,,,Check
P_TestPressureRange,TESTDURATION,PT Duration Hours,,,Check
P_TestPressureRange,PRESSURERECORDINGCHARTS,Pressure Recording Charts,,,Check
P_TestPressureRange,TESTINSTRUMENTCALIBRATION,Test Instrument Calibration,,,Check
P_TestPressureRange,FACTOR,Test Pressure Factor,,,Check
P_TestPressureRange,SHAPE_Length,,,,
P_TVCTable,CREATIONUSER,,,,
P_TVCTable,DATECREATED,,,,
P_TVCTable,DATEMODIFIED,,,,
P_TVCTable,DEFAULTDESIGNFACTOR,Default Design Factor,,,
P_TVCTable,DEFAULTJOINTFACTOR,Default Joint Factor [E],,,
P_TVCTable,DEFAULTSMYS,Default SMYS [S],,,
P_TVCTable,DESIGNFACTOR,Design Factor [F],,,
P_TVCTable,ENDCONNECTIONS,End Connections,,,
P_TVCTable,ENGINEERINGWHITEPAPER1,Engineering Whitepaper 1,,,
P_TVCTable,ENGINEERINGWHITEPAPER2,Engineering Whitepaper 2,,,
P_TVCTable,ENGINEERINGWHITEPAPER3,Engineering Whitepaper 3,,,
P_TVCTable,ENGINEERINGWHITEPAPER4,Engineering Whitepaper 4,,,
P_TVCTable,ENGINEERINGWHITEPAPER5,Engineering Whitepaper 5,,,
P_TVCTable,ENGM,From Station,,,
P_TVCTable,FEATURE,Feature,,,
P_TVCTable,FEATURETYPE,Feature Type,,,
P_TVCTable,GLOBALID,,,,
P_TVCTable,GRADE,Grade,,,
P_TVCTable,JOINTFACTOR,Joint Factor [E],,,
P_TVCTable,LASTUSER,,,,
P_TVCTable,NONTVCGAPSTATUS,Non TVC Gap Status,,,
P_TVCTable,OBJECTID,,,,
P_TVCTable,ODDOCUMENT1,OD 1 Document 1,,,
P_TVCTable,ODDOCUMENT1TYPE,OD 1 Document 1 Type,,,
P_TVCTable,ODDOCUMENT2,OD 1 Document 2,,,
P_TVCTable,ODDOCUMENT2TYPE,OD 1 Document 2 Type,,,
P_TVCTable,ODDOCUMENT3,OD 1 Document 3,,,
P_TVCTable,ODDOCUMENT3TYPE,OD 1 Document 3 Type,,,
P_TVCTable,ODDOCUMENT4,OD 1 Document 4,,,
P_TVCTable,ODDOCUMENT4TYPE,OD 1 Document 4 Type,,,
P_TVCTable,ODDOCUMENT5,OD 1 Document 5,,,
P_TVCTable,ODDOCUMENT5TYPE,OD 1 Document 5 Type,,,
P_TVCTable,ODTVCSTATUS,OD 1 Matrix Check,,,
P_TVCTable,OUTSIDEDIAMETER,Outside Diameter [D],,,
P_TVCTable,OUTSIDEDIAMETER2,Outside Diameter 2,,,
P_TVCTable,PROJECTDESCRIPTION,Project Name,,,
P_TVCTable,PROJECTNUMBER,Work Order Number,,,
P_TVCTable,QCCOMMENT,QC Comment,,,
P_TVCTable,RATINGCLASS,Rating Class,,,
P_TVCTable,RATINGCLASSDOCUMENT1,Rating Class Document 1,,,
P_TVCTable,RATINGCLASSDOCUMENT1TYPE,Rating Class Document 1 Type,,,
P_TVCTable,RATINGCLASSDOCUMENT2,Rating Class Document 2,,,
P_TVCTable,RATINGCLASSDOCUMENT2TYPE,Rating Class Document 2 Type,,,
P_TVCTable,RATINGCLASSDOCUMENT3,Rating Class Document 3,,,
P_TVCTable,RATINGCLASSDOCUMENT3TYPE,Rating Class Document 3 Type,,,
P_TVCTable,RATINGCLASSDOCUMENT4,Rating Class Document 4,,,
P_TVCTable,RATINGCLASSDOCUMENT4TYPE,Rating Class Document 4 Type,,,
P_TVCTable,RATINGCLASSDOCUMENT5,Rating Class Document 5,,,
P_TVCTable,RATINGCLASSDOCUMENT5TYPE,Rating Class Document 5 Type,,,
P_TVCTable,RATINGCLASSTVCSTATUS,Rating Class Matrix Check,,,
P_TVCTable,RELFACILITYID,Facility ID-DO NOT EDIT,,,
P_TVCTable,SEAMDOCUMENT1,Seam Document 1,,,
P_TVCTable,SEAMDOCUMENT1TYPE,Seam Document 1 Type,,,
P_TVCTable,SEAMDOCUMENT2,Seam Document 2,,,
P_TVCTable,SEAMDOCUMENT2TYPE,Seam Document 2 Type,,,
P_TVCTable,SEAMDOCUMENT3,Seam Document 3,,,
P_TVCTable,SEAMDOCUMENT3TYPE,Seam Document 3 Type,,,
P_TVCTable,SEAMDOCUMENT4,Seam Document 4,,,
P_TVCTable,SEAMDOCUMENT4TYPE,Seam Document 4 Type,,,
P_TVCTable,SEAMDOCUMENT5,Seam Document 5,,,
P_TVCTable,SEAMDOCUMENT5TYPE,Seam Document 5 Type,,,
P_TVCTable,SEAMTVCSTATUS,Seam Matrix Check,,,
P_TVCTable,SEAMTYPE,SeamType,,,
P_TVCTable,SMYS,SMYS [S],,,
P_TVCTable,SPECGRADDOCUMENT1,Spec Grade Document 1,,,
P_TVCTable,SPECGRADEDOCUMENT1TYPE,Spec Grade Document 1 Type,,,
P_TVCTable,SPECGRADEDOCUMENT2,Spec Grade Document 2,,,
P_TVCTable,SPECGRADEDOCUMENT2TYPE,Spec Grade Document 2 Type,,,
P_TVCTable,SPECGRADEDOCUMENT3,Spec Grade Document 3,,,
P_TVCTable,SPECGRADEDOCUMENT3TYPE,Spec Grade Document 3 Type,,,
P_TVCTable,SPECGRADEDOCUMENT4,Spec Grade Document 4,,,
P_TVCTable,SPECGRADEDOCUMENT4TYPE,Spec Grade Document 4 Type,,,
P_TVCTable,SPECGRADEDOCUMENT5,Spec Grade Document 5,,,
P_TVCTable,SPECGRADEDOCUMENT5TYPE,Spec Grade Document 5 Type,,,
P_TVCTable,SPECGRADETVCSTATUS,Spec Grade Matrix Check,,,
P_TVCTable,SPECIFICATION,Specification,,,
P_TVCTable,TVCSTATUS,TVC Status,,,
P_TVCTable,WALLTHICKNESS,Wall Thickness [t],,,
P_TVCTable,WALLTHICKNESS2,Wall Thickness 2,,,
P_TVCTable,WTDOCUMENT1,WT 1 Document 1,,,
P_TVCTable,WTDOCUMENT1TYPE,WT 1 Document 1 Type,,,
P_TVCTable,WTDOCUMENT2,WT 1 Document 2,,,
P_TVCTable,WTDOCUMENT2TYPE,WT 1 Document 2 Type,,,
P_TVCTable,WTDOCUMENT3,WT 1 Document 3,,,
P_TVCTable,WTDOCUMENT3TYPE,WT 1 Document 3 Type,,,
P_TVCTable,WTDOCUMENT4,WT 1 Document 4,,,
P_TVCTable,WTDOCUMENT4TYPE,WT 1 Document 4 Type,,,
P_TVCTable,WTDOCUMENT5,WT 1 Document 5,,,
P_TVCTable,WTDOCUMENT5TYPE,WT 1 Document 5 Type,,,
P_TVCTable,WTTVCSTATUS,WT 1 Matrix Check,,,
P_MitigationActions,OBJECTID,,,,
P_MitigationActions,GAPCATEGORY,Gap Category,,,Check
P_MitigationActions,MITIGATIONCATEGORY,Mitigation Category,,,Check
P_MitigationActions,MITIGATIONSTATUS,,,,
P_MitigationActions,CONTINROUTEID,Route ID,,,Check
P_MitigationActions,CONTINROUTENAME,TR,,,Check
P_MitigationActions,COMPLETEDDATE,,,,
P_MitigationActions,CONTINFROMM,From Measure,,,
P_MitigationActions,CONTINTOM,To Measure,,,
P_MitigationActions,FROMDATE,,,,
P_MitigationActions,TODATE,,,,
P_MitigationActions,LOCATIONERROR,,,,
P_MitigationActions,ANTICIPATEDDATE,,,,
P_MitigationActions,TPPDM,TPPDM,,,Check
P_MitigationActions,OVERALLSCHEDULE,Overall Schedule,,,Check
P_MitigationActions,SCHEDULE624,624 Schedule,,,Check
P_MitigationActions,MITIGATIONACTION,Mitigation Action,,,Check
P_MitigationActions,EVENTID,,,,
P_MitigationActions,DATECREATED,,,,
P_MitigationActions,CREATIONUSER,,,,
P_MitigationActions,LASTUSER,,,,
P_MitigationActions,DATEMODIFIED,,,,
P_MitigationActions,SHAPE,,,,
P_MitigationActions,GLOBALID,,,,
P_MitigationActions,SHAPE_Length,,,,
P_TVCTable,INSTALLATIONDATE,Feature Install Date,,,
P_TVCTable,EVENTID,EventID,,,
